City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,rio grande,-32.035,-52.0986,22.06,65,0,3.43,BR,1696184164
254,inhambane,-23.865,35.3833,21.95,65,85,9.0,MZ,1696184164
255,neiafu,-18.65,-173.9833,22.38,64,40,5.14,TO,1696184164
256,isafjordur,66.0755,-23.124,8.02,71,75,5.66,IS,1696184164
257,naval,11.5606,124.3975,27.65,84,68,6.31,PH,1696184164
258,gisors,49.2818,1.7801,23.55,63,85,1.88,FR,1696184164
259,sao joao da barra,-21.6403,-41.0511,22.05,80,100,9.51,BR,1696184164
260,zunyi,27.6867,106.9072,20.29,96,80,2.07,CN,1696184165
261,primero de mayo,-32.2552,-58.4228,22.68,22,0,2.88,AR,1696184165
262,bhimunipatnam,17.8833,83.4333,28.73,83,100,5.2,IN,1696184165
263,isla mujeres,21.2311,-86.731,32.03,71,99,2.13,MX,1696184165
264,broome,42.2506,-75.833,25.87,68,40,3.6,US,1696184165
265,kupang,-10.1667,123.5833,26.32,69,69,2.57,ID,1696184142
266,viedma,-40.8135,-62.9967,23.44,22,100,7.99,AR,1696184166
267,callao,-12.0667,-77.15,22.16,64,0,5.14,PE,1696184166
268,kruisfontein,-34.0033,24.7314,13.82,72,57,4.91,ZA,1696184166
269,nema,57.5067,50.5011,12.36,61,57,3.58,RU,1696184166
270,banes,20.9625,-75.7186,31.82,65,43,5.62,CU,1696184166
271,kokoda,-8.8785,147.7407,23.97,97,99,0.26,PG,1696184166
272,upata,8.0086,-62.3989,35.24,36,98,2.53,VE,1696184167
273,chonchi,-42.6128,-73.8092,7.29,98,100,0.79,CL,1696184167
274,amassoma,4.9692,6.1097,25.17,89,91,2.52,NG,1696184167
275,dauphin,51.1494,-100.0502,14.08,94,100,3.6,CA,1696184167
276,santa elena de uairen,4.6167,-61.1333,30.81,36,58,3.67,VE,1696184167
277,goundam,16.4145,-3.6708,39.98,11,77,1.96,ML,1696184167
278,ad dabbah,18.05,30.95,37.33,10,2,4.27,SD,1696184168
279,tocopilla,-22.092,-70.1979,20.63,66,13,3.23,CL,1696184168
280,crane,31.3974,-102.3501,29.43,44,78,9.1,US,1696184168
281,guanajuato,21.0186,-101.2591,27.39,31,1,3.77,MX,1696184168
282,saint-pierre,-21.3393,55.4781,22.82,73,0,2.57,RE,1696184168
283,batarasa,8.6617,117.6222,26.19,90,100,5.61,PH,1696184168
284,blair,41.5444,-96.125,33.41,45,0,6.17,US,1696184168
285,manismata,-2.4667,111.0333,21.64,91,81,1.27,ID,1696184169
286,benghazi,32.1167,20.0667,24.46,63,0,5.67,LY,1696184169
287,as sulayyil,20.4607,45.5779,33.14,15,0,4.79,SA,1696184169
288,badger,64.8,-147.5333,4.99,71,100,3.09,US,1696184039
289,borovskoy,53.8,64.15,10.04,74,29,1.86,KZ,1696184169
290,vylkove,45.4021,29.586,20.85,52,48,7.85,UA,1696184169
291,chibougamau,49.9168,-74.3659,18.47,46,6,2.37,CA,1696184169
292,xining,36.6167,101.7667,12.02,79,99,1.06,CN,1696184169
293,maputo,-25.9653,32.5892,18.82,63,75,5.14,MZ,1696184170
294,san ignacio de velasco,-16.3667,-60.95,36.54,28,59,2.69,BO,1696184170
295,tangalle,6.024,80.7911,24.84,89,82,3.92,LK,1696184170
296,hadibu,12.65,54.0333,26.66,85,54,2.31,YE,1696184170
297,sorochinsk,52.4338,53.1583,12.58,57,9,2.17,RU,1696184170
298,sosua,19.7667,-70.5167,33.99,62,40,5.14,DO,1696184170
299,crucecita,-28.95,-58.9833,24.39,33,0,4.33,AR,1696184170
300,uray,60.1247,64.7758,8.82,79,18,4.92,RU,1696184171
301,pacasmayo,-7.4006,-79.5714,22.22,72,77,6.73,PE,1696184171
302,glace bay,46.1969,-59.957,22.25,58,40,3.58,CA,1696184144
303,port alfred,-33.5906,26.891,16.77,69,62,0.89,ZA,1696184171
